Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
24312,0.56,Ideal,G,VS1,61.2,54.0,5.36,5.32,3.27,1890
18874,1.11,Very Good,E,SI2,62.0,58.0,6.61,6.68,4.12,4769
4149,1.32,Very Good,G,SI2,61.6,57.0,6.98,7.05,4.32,7173
17194,0.51,Ideal,E,VS1,61.4,56.0,5.14,5.16,3.16,2233
10307,1.07,Premium,G,VS2,62.1,58.0,6.59,6.55,4.08,6471
22694,1.07,Very Good,H,VS2,61.5,57.0,6.57,6.63,4.06,5254
25539,0.32,Premium,H,VS1,62.4,58.0,4.4,4.35,2.73,720
16099,1.21,Ideal,F,VS1,61.8,56.0,6.84,6.86,4.23,10504
20326,0.33,Ideal,F,VVS1,62.1,56.0,4.43,4.46,2.76,828
8759,0.73,Very Good,H,SI1,62.8,55.0,5.71,5.75,3.6,2196
9764,0.31,Ideal,G,VVS2,61.8,56.0,4.36,4.31,2.68,907
9793,1.09,Ideal,F,VS1,61.6,55.0,6.62,6.67,4.09,9786
8432,1.0,Very Good,E,VVS2,61.7,55.0,6.38,6.42,3.95,9324
17933,0.26,Ideal,E,VVS2,62.3,57.0,4.06,4.09,2.54,599
23233,1.21,Premium,G,SI2,,58.0,6.9,6.96,4.18,5430
15701,0.31,Ideal,F,VS2,60.8,57.0,4.41,4.38,2.67,749
10116,1.03,Fair,G,SI2,65.6,58.0,6.3,6.26,4.12,3765
12273,1.58,Premium,J,VVS2,61.0,58.0,7.56,7.49,4.59,7592
719,0.73,Ideal,J,SI1,62.0,56.0,5.74,5.78,3.57,1902
12294,0.58,Ideal,F,VS2,62.1,56.0,5.33,5.37,3.32,1666
1058,0.79,Premium,D,SI1,61.4,59.0,5.96,5.89,3.64,3058
16841,1.23,Good,D,SI2,60.5,64.0,6.94,6.88,4.18,5689
22030,0.31,Very Good,E,VVS2,64.2,55.0,4.24,4.3,2.74,721
10255,0.36,Premium,E,VS2,,58.0,4.56,4.54,2.82,1013
6336,0.55,Premium,G,VS2,62.3,56.0,5.29,5.24,3.28,1668
13789,0.72,Very Good,G,VVS2,60.1,60.0,5.79,5.82,3.49,3449
6633,0.61,Ideal,I,VVS1,62.5,54.0,5.43,5.49,3.41,1713
22464,0.35,Premium,G,IF,59.1,59.0,4.62,4.59,2.72,1116
11089,0.42,Premium,I,SI1,62.6,58.0,4.8,4.76,2.99,803
10633,1.06,Very Good,G,VS2,59.4,59.0,6.68,6.63,3.95,6217
1549,0.4,Premium,G,VVS1,60.9,57.0,4.8,4.76,2.91,1200
5814,1.55,Ideal,E,VS2,61.9,58.0,7.39,7.45,4.59,15293
16262,1.11,Ideal,G,VS1,62.1,57.0,6.61,6.63,4.11,7917
7983,1.34,Very Good,H,VVS2,59.7,60.0,7.19,7.22,4.3,9735
7198,1.56,Ideal,G,VVS2,62.5,55.0,7.39,7.45,4.64,15609
17962,0.3,Ideal,I,VS1,62.2,56.0,4.27,4.31,2.67,518
7986,1.24,Premium,E,SI2,60.5,62.0,6.97,6.89,4.19,4666
26178,1.36,Very Good,D,SI1,59.5,61.0,7.21,7.24,4.3,9874
22587,0.4,Very Good,F,IF,62.8,57.0,4.65,4.68,2.93,1404
23719,0.8,Very Good,E,VVS2,62.9,59.0,5.88,5.95,3.72,4304
11831,1.14,Ideal,F,VVS1,62.2,56.0,6.69,6.67,4.16,11844
12540,0.38,Ideal,D,VVS2,61.3,56.0,4.73,4.63,2.87,1257
16497,0.5,Very Good,D,VS2,62.9,61.0,4.96,5.03,3.14,1752
190,0.9,Ideal,E,SI1,61.7,57.0,6.21,6.24,3.84,4940
7324,1.22,Ideal,H,VS2,61.3,56.0,6.85,6.88,4.21,8596
7709,0.55,Premium,E,SI2,61.9,58.0,5.24,5.2,3.23,1273
10618,1.71,Premium,I,VS1,,57.0,7.82,7.73,4.71,11246
4277,1.71,Very Good,H,VS1,62.0,56.0,7.64,7.68,4.75,13904
9581,1.1,Good,I,SI1,57.7,60.0,6.82,6.77,3.92,4312
22880,0.34,Premium,E,SI2,61.5,58.0,4.49,4.52,2.77,477
25958,1.22,Very Good,F,VVS2,60.7,62.0,6.81,6.84,4.14,10719
4570,0.29,Very Good,D,VVS2,62.3,59.0,4.21,4.26,2.64,664
25352,0.3,Premium,G,VS1,61.4,60.0,4.33,4.3,2.65,776
18361,0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,4523
13230,0.27,Ideal,G,SI2,62.3,55.0,4.14,4.18,2.59,361
3257,0.31,Ideal,D,VS2,62.5,56.0,4.29,4.32,2.69,734
14563,0.9,Very Good,E,SI1,63.2,54.0,6.1,6.17,3.88,4382
16443,0.41,Ideal,D,SI1,60.3,57.0,4.82,4.86,2.92,791
17812,1.23,Premium,D,SI1,62.5,58.0,6.85,6.79,4.27,7715
19183,1.09,Ideal,G,VS2,62.8,57.0,6.54,6.58,4.12,7292
18127,1.21,Premium,G,VVS2,59.6,60.0,6.89,6.91,4.11,9370
2744,0.33,Ideal,D,SI2,62.4,57.0,4.42,4.39,2.75,631
5789,0.2,Very Good,E,VS2,63.4,59.0,3.74,3.71,2.36,367
24296,1.25,Ideal,H,VS2,60.0,56.0,7.04,6.99,4.21,6944
7885,0.41,Ideal,D,VS1,61.0,57.0,4.82,4.78,2.93,1230
10263,0.4,Premium,G,VS1,60.3,59.0,4.8,4.76,2.88,1125
914,0.62,Premium,J,VVS2,60.9,58.0,5.5,5.56,3.37,1415
25400,0.41,Ideal,D,SI1,61.0,57.0,4.8,4.78,2.92,1015
16866,0.31,Premium,G,VVS1,62.6,61.0,4.31,4.28,2.69,1046
15656,0.7,Ideal,H,SI1,60.6,57.0,5.73,5.78,3.49,1919
26044,0.35,Ideal,D,SI2,61.8,57.0,4.57,4.53,2.81,669
10657,1.44,Premium,I,I1,62.7,55.0,7.21,7.18,4.51,4387
7512,0.7,Good,H,VS2,59.7,57.0,5.75,5.8,3.45,2347
20930,0.3,Very Good,G,SI1,62.5,56.0,4.27,4.3,2.68,432
22806,1.33,Ideal,H,VS1,59.3,57.0,7.18,7.22,4.27,8558
23940,0.42,Ideal,D,VVS2,62.1,55.0,4.81,4.79,2.98,1389
9668,1.64,Premium,F,SI1,61.3,58.0,7.65,7.59,4.67,12821
26850,1.08,Premium,G,SI2,62.2,56.0,6.62,6.54,4.09,4627
16885,0.55,Ideal,E,SI1,60.7,57.0,5.27,5.3,3.21,1551
2168,1.75,Good,D,SI1,63.8,57.0,7.63,7.53,4.84,12918
9158,1.0,Fair,J,SI2,56.3,64.0,6.58,6.54,3.69,3199
17991,1.07,Very Good,G,SI2,62.9,59.0,6.51,6.58,4.12,4321
18098,1.01,Premium,H,SI1,60.7,58.0,6.49,6.45,3.93,4771
19858,0.32,Ideal,D,VS2,,54.0,4.39,4.42,2.73,912
15184,1.5,Very Good,I,SI1,60.4,61.0,7.35,7.39,4.45,8590
5656,0.42,Premium,E,SI1,62.3,58.0,4.81,4.76,2.98,992
12545,1.03,Ideal,D,SI2,61.8,56.0,6.46,6.51,4.01,4679
6670,1.2,Premium,H,VS2,62.4,57.0,6.73,6.67,4.18,6048
6445,0.9,Good,E,SI1,60.8,65.0,6.14,6.17,3.74,3933
4766,0.9,Good,G,VVS2,63.6,58.0,6.1,6.11,3.88,5001
23717,0.8,Ideal,D,VS2,61.0,57.0,5.96,6.0,3.65,4170
11918,0.3,Ideal,D,SI2,61.1,55.0,4.32,4.35,2.65,447
15720,1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,5966
4709,0.9,Very Good,H,SI1,61.0,59.0,6.11,6.16,3.74,3447
3791,0.31,Premium,H,VVS2,62.4,59.0,4.35,4.31,2.7,802
4485,0.32,Ideal,G,VS2,61.8,55.0,4.4,4.43,2.73,564
8477,0.32,Premium,F,VS2,61.3,60.0,4.4,4.37,2.69,828
14541,2.15,Ideal,H,SI2,60.3,59.0,8.34,8.41,5.05,16146
23772,0.35,Ideal,G,VVS1,61.7,56.0,4.54,4.57,2.81,887
7854,0.35,Good,E,SI2,64.0,55.0,4.45,4.49,2.86,454
16913,0.34,Premium,E,SI1,59.0,60.0,4.62,4.56,2.71,765
10974,0.6,Ideal,E,VS1,61.6,55.0,5.43,5.48,3.36,2442
12157,1.07,Very Good,E,SI2,61.6,56.0,6.54,6.6,4.05,4824
20963,0.34,Premium,H,VS2,60.2,60.0,4.51,4.56,2.73,537
20216,0.9,Premium,G,SI2,62.4,55.0,6.17,6.13,3.84,3478
12270,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,641
17808,0.63,Ideal,J,SI1,61.8,56.0,5.47,5.52,3.39,1565
16442,2.0,Fair,F,I1,66.1,57.0,7.84,7.7,5.14,6532
21434,0.54,Ideal,F,VS1,60.9,57.0,5.21,5.26,3.19,1772
6362,0.4,Ideal,I,VS2,61.8,56.0,4.73,4.79,2.94,639
3551,1.02,Premium,D,SI2,59.5,62.0,6.56,6.52,3.89,4912
4996,1.2,Premium,I,SI2,60.0,58.0,6.91,6.93,4.15,4989
23301,0.23,Very Good,E,VVS2,,61.0,4.01,4.04,2.39,505
11937,1.5,Good,D,SI1,63.1,57.0,7.24,7.31,4.59,11756
2511,1.14,Ideal,J,SI2,61.5,57.0,6.73,6.77,4.15,4212
8036,1.0,Good,F,SI2,62.7,57.0,6.29,6.34,3.96,4081
10767,1.27,Ideal,G,SI2,58.8,56.0,7.16,7.06,4.18,4936
14332,0.41,Ideal,D,VS1,62.8,57.0,4.76,4.73,2.98,1230
17818,0.3,Ideal,H,SI2,60.0,56.0,4.41,4.43,2.65,408
6602,0.32,Premium,I,SI1,61.6,61.0,4.4,4.36,2.7,540
18916,0.5,Premium,G,VS2,60.2,60.0,5.21,5.15,3.12,1415
24382,0.3,Ideal,F,VVS1,,56.0,4.3,4.34,2.69,857
7794,0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,1754
17590,0.77,Very Good,J,SI1,63.3,57.0,5.84,5.79,3.68,2010
17607,1.01,Premium,E,SI2,59.6,61.0,6.59,6.56,3.92,4434
6548,1.01,Very Good,G,VS1,63.1,59.0,6.32,6.23,3.96,5294
6007,1.41,Ideal,J,VS1,61.6,56.0,7.19,7.22,4.44,8275
276,0.53,Very Good,J,VS2,60.9,59.0,5.2,5.27,3.19,1023
9282,0.38,Ideal,G,SI1,62.4,57.0,4.62,4.65,2.89,666
10848,0.61,Premium,H,VVS2,62.4,59.0,5.4,5.43,3.38,1827
16511,1.72,Premium,I,VS2,58.3,61.0,7.91,7.87,4.6,11360
21533,0.31,Ideal,F,IF,62.1,55.0,4.35,4.34,2.7,1046
25,0.66,Ideal,H,SI1,62.4,58.0,5.53,5.56,3.46,1609
8665,0.31,Good,E,SI1,63.2,59.0,4.28,4.33,2.72,544
10024,1.3,Ideal,G,VS2,61.9,55.0,7.01,7.04,4.35,9060
19474,0.3,Very Good,D,SI1,58.8,63.0,4.32,4.35,2.55,479
4806,0.32,Ideal,D,VS2,61.5,56.0,4.39,4.42,2.71,758
6107,0.43,Good,I,VS2,58.0,57.0,4.96,5.01,2.89,696
351,1.7,Premium,I,VS2,61.7,59.0,7.63,7.68,4.72,11257
19067,0.53,Premium,G,VS1,62.4,58.0,5.16,5.2,3.23,1721
6359,2.5,Fair,G,I1,65.1,59.0,8.55,8.39,5.53,8711
19458,1.63,Ideal,E,VS2,61.3,55.0,7.6,7.63,4.67,17825
12031,0.9,Good,I,VVS1,63.6,58.0,6.14,6.1,3.89,4114
5041,0.37,Premium,F,VS2,62.7,58.0,4.55,4.58,2.86,746
12968,0.53,Good,E,SI2,63.2,54.0,5.16,5.19,3.27,1141
24534,0.42,Very Good,F,IF,,58.0,4.87,4.9,2.93,1722
17801,0.57,Ideal,G,VVS2,60.7,55.0,5.34,5.36,3.25,2095
12991,0.56,Ideal,E,VS1,62.7,56.0,5.26,5.3,3.31,1608
16141,0.91,Premium,E,SI1,62.1,58.0,6.18,6.15,3.83,4256
2052,0.3,Premium,H,VVS2,60.6,58.0,4.35,4.33,2.63,776
25558,1.01,Premium,F,VS2,62.2,60.0,6.4,6.37,3.97,6533
4630,0.33,Ideal,D,VS2,62.5,55.0,4.45,4.41,2.77,1002
11389,0.75,Very Good,E,VVS2,62.8,57.0,5.74,5.78,3.62,4005
25047,1.02,Very Good,G,VS2,63.4,59.0,6.32,6.3,4.0,6169
23118,0.77,Very Good,G,VS1,62.3,58.0,5.82,5.86,3.64,3240
24199,0.72,Premium,F,VS2,62.1,57.0,5.73,5.71,3.55,2724
21749,0.31,Ideal,H,VVS2,62.4,57.0,4.32,4.36,2.71,625
5293,1.22,Premium,I,SI1,62.2,57.0,6.87,6.79,4.25,5466
17391,0.91,Very Good,F,SI1,60.1,58.0,6.3,6.35,3.8,3879
912,0.34,Ideal,H,VVS1,61.8,57.0,4.46,4.44,2.75,995
26729,0.42,Ideal,D,SI2,62.4,57.0,4.81,4.78,2.99,898
17201,0.5,Ideal,E,VS1,62.7,57.0,5.04,5.11,3.18,1745
17221,1.68,Ideal,J,VS1,61.1,57.0,7.64,7.7,4.69,10681
1147,1.01,Good,H,VVS2,63.3,57.0,6.35,6.39,4.03,5988
3250,0.3,Ideal,E,VS2,62.0,55.0,4.35,4.3,2.68,844
21822,2.0,Very Good,G,SI1,61.8,61.0,8.0,8.09,4.97,18524
17342,0.5,Ideal,E,SI1,62.2,57.0,5.06,5.1,3.16,1410
15540,0.91,Premium,H,VS2,62.5,59.0,6.19,6.09,3.84,4018
22642,0.34,Very Good,H,VVS2,62.7,59.0,4.43,4.47,2.79,686
22147,0.96,Ideal,G,VS1,61.1,56.0,6.34,6.39,3.89,6807
26714,1.0,Ideal,F,SI1,62.4,55.0,6.45,6.37,4.0,4939
15708,1.19,Ideal,I,SI1,62.3,55.0,6.8,6.82,4.24,5690
6088,0.9,Ideal,H,SI2,62.0,57.0,6.19,6.17,3.83,3516
3571,0.4,Ideal,E,SI1,63.0,57.0,4.68,4.65,2.94,882
11676,0.44,Very Good,J,VS1,63.1,57.0,4.87,4.83,3.06,891
11348,1.52,Ideal,F,VS1,62.2,55.0,7.29,7.41,4.57,16055
14131,1.54,Premium,I,VS1,61.6,58.0,7.42,7.39,4.56,10349
26484,0.41,Ideal,G,VS2,62.7,55.0,4.75,4.79,2.99,827
14539,0.72,Good,F,SI1,63.9,62.0,5.7,5.63,3.62,2188
26248,1.22,Premium,E,SI2,61.5,58.0,6.84,6.86,4.21,6012
17597,1.01,Very Good,F,SI2,62.7,55.0,6.32,6.4,3.99,4853
6641,0.56,Premium,E,VS2,61.8,59.0,5.27,5.34,3.28,1819
13052,0.2,Premium,F,VS2,62.6,59.0,3.73,3.71,2.33,367
12109,1.01,Very Good,D,SI2,64.0,56.0,6.3,6.38,4.06,5166
4915,0.3,Ideal,F,IF,62.0,56.0,4.3,4.34,2.68,947
19810,1.05,Ideal,I,VS2,62.2,56.0,6.52,6.5,4.05,3428
23274,0.92,Very Good,D,SI2,63.7,57.0,6.12,6.21,3.93,3707
20003,1.05,Ideal,H,SI1,61.1,56.0,6.52,6.58,4.0,5200
26621,0.73,Ideal,G,VVS2,62.1,56.0,5.78,5.81,3.59,3396
14456,0.31,Very Good,G,VVS1,62.8,57.0,4.3,4.33,2.71,761
3656,0.77,Very Good,F,SI1,59.6,60.0,5.95,5.97,3.55,3044
21163,1.51,Ideal,G,VS2,59.8,57.0,7.48,7.53,4.48,13214
21238,0.71,Ideal,F,SI1,63.0,54.0,5.73,5.69,3.6,2235
22448,0.5,Very Good,E,SI1,59.4,60.0,5.14,5.16,3.06,1293
15365,0.56,Ideal,E,VS1,61.3,55.0,5.32,5.29,3.25,2032
10990,1.79,Premium,G,VS2,61.2,58.0,7.9,7.82,4.81,17358
26680,0.67,Ideal,G,VVS1,62.4,55.0,5.6,5.62,3.5,2577
6470,0.7,Good,H,VS2,63.9,59.0,5.6,5.64,3.59,2330
22967,1.31,Very Good,G,VVS2,62.2,59.0,6.91,6.98,4.32,11108
11219,0.3,Premium,G,VVS1,60.7,58.0,4.34,4.36,2.64,789
11477,0.5,Ideal,D,VVS2,60.4,54.0,5.17,5.23,3.14,2100
7154,1.51,Ideal,G,VS1,62.8,56.0,7.29,7.24,4.56,13811
21371,1.02,Ideal,F,VS2,62.6,57.0,6.4,6.47,4.03,7632
17121,1.09,Ideal,J,SI1,60.7,58.0,6.64,6.68,4.04,4611
22427,0.71,Very Good,J,SI1,59.1,61.0,5.82,5.85,3.45,1861
10153,0.31,Good,H,VVS2,63.6,56.0,4.28,4.33,2.74,625
25502,2.16,Ideal,G,SI2,62.5,54.2,8.23,8.27,5.16,18001
14167,0.42,Ideal,G,VS1,62.7,54.0,4.8,4.83,3.02,921
16950,0.7,Ideal,E,SI1,61.1,56.0,5.75,5.78,3.52,3330
16797,0.51,Ideal,G,VVS1,61.0,57.0,5.17,5.16,3.15,2111
18144,1.21,Ideal,D,VVS2,61.3,57.0,6.85,6.88,4.21,12375
22416,1.0,Premium,J,VS2,60.7,58.0,6.49,6.52,3.95,3877
26336,2.21,Premium,H,SI2,59.0,59.0,8.51,8.46,5.01,13872
22929,1.02,Good,F,SI2,64.1,60.0,6.25,6.29,4.02,4179
24110,1.01,Premium,H,VS2,60.6,60.0,6.51,6.49,3.94,5260
16717,0.51,Good,E,SI1,63.6,59.0,5.13,5.06,3.24,1241
5084,0.78,Very Good,D,VS2,62.2,56.0,5.85,5.91,3.66,3668
16824,0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,2347
8142,1.11,Fair,H,SI2,64.4,58.0,6.55,6.5,4.2,3730
20144,2.01,Ideal,F,SI2,60.0,56.0,8.17,8.22,4.92,17220
3518,0.33,Ideal,E,VVS1,61.2,56.0,4.45,4.51,2.74,984
2218,0.28,Ideal,H,VS1,62.2,54.0,4.18,4.21,2.61,476
12471,0.35,Ideal,D,SI1,61.6,55.0,4.53,4.56,2.8,644
12002,1.01,Premium,G,SI1,60.0,58.0,6.54,6.5,3.91,5204
781,1.21,Very Good,H,SI1,60.2,58.0,6.89,6.93,4.16,6229
17336,2.01,Premium,H,SI2,62.3,58.0,8.11,8.06,5.04,15917
16743,0.91,Good,F,SI1,64.0,57.0,6.17,6.08,3.92,3363
4104,0.91,Premium,D,VS2,62.0,58.0,6.2,6.15,3.83,5167
24222,1.05,Premium,F,SI2,61.7,60.0,6.58,6.49,4.03,4363
18478,0.43,Ideal,G,VVS2,60.9,57.0,4.9,4.85,2.97,1129
23576,0.31,Very Good,G,VVS1,58.8,59.0,4.44,4.47,2.62,778
10063,1.12,Fair,I,SI2,64.6,57.0,6.5,6.47,4.19,3669
16115,0.42,Very Good,F,SI2,61.5,59.0,4.81,4.85,2.97,710
11145,0.31,Very Good,G,VS1,62.9,57.0,4.3,4.32,2.71,625
451,0.95,Premium,G,SI2,59.7,61.0,6.35,6.27,3.77,3830
671,1.61,Ideal,G,VS2,62.2,56.0,7.57,7.5,4.69,9521
19005,1.29,Ideal,E,SI2,62.8,57.0,6.94,6.88,4.34,6473
409,0.41,Fair,D,VVS2,64.5,57.0,4.68,4.65,3.01,1089
13659,0.91,Ideal,I,SI1,62.4,56.0,6.2,6.24,3.88,3574
15615,1.5,Ideal,G,SI1,62.8,54.0,7.31,7.29,4.58,11572
17149,1.12,Ideal,E,VVS2,60.6,57.0,6.77,6.66,4.07,10769
2731,0.53,Ideal,E,SI1,61.9,55.0,5.2,5.24,3.23,1585
24434,0.67,Premium,G,SI1,60.5,60.0,5.69,5.65,3.43,1914
9881,0.32,Ideal,G,IF,61.9,55.0,4.38,4.44,2.73,918
10224,0.3,Ideal,F,IF,61.9,57.0,4.29,4.33,2.67,886
9865,0.23,Premium,E,VVS1,60.8,56.0,3.99,3.94,2.41,640
16483,1.51,Premium,I,SI2,62.6,59.0,7.28,7.31,4.57,7162
15983,0.74,Fair,H,VS1,,63.0,5.63,5.5,3.69,2193
9440,0.58,Ideal,E,SI1,61.5,55.0,5.34,5.39,3.3,1636
16476,0.54,Ideal,F,SI1,61.2,56.0,5.23,5.29,3.22,1307
15136,1.05,Ideal,G,VS2,61.9,56.0,6.52,6.56,4.05,6486
19979,0.34,Ideal,H,VS2,62.2,56.0,4.48,4.53,2.8,537
1026,0.45,Ideal,D,SI2,62.0,55.0,4.92,4.95,3.06,706
20995,2.01,Very Good,E,SI2,,60.0,8.2,8.24,4.84,17024
6705,0.92,Ideal,I,SI1,61.8,57.0,6.27,6.25,3.87,3323
4613,0.3,Ideal,F,VS2,61.6,56.0,4.3,4.33,2.66,573
10220,1.01,Ideal,G,VVS2,62.4,59.0,6.34,6.41,3.98,7806
14944,0.9,Very Good,E,SI1,62.9,57.0,6.11,6.17,3.86,3510
25456,2.4,Premium,J,SI1,59.7,58.0,8.75,8.71,5.21,16304
3375,0.32,Ideal,I,VS1,62.4,54.0,4.39,4.36,2.73,648
24351,1.15,Ideal,G,SI2,62.3,56.0,6.75,6.67,4.18,4927
3971,0.38,Premium,I,SI2,62.7,58.0,4.61,4.57,2.88,641
11559,1.02,Good,G,SI2,,58.0,6.48,6.55,3.9,4159
22959,1.02,Premium,F,SI1,60.1,60.0,6.58,6.53,3.94,5686
4832,0.5,Ideal,G,VVS1,62.2,55.0,5.09,5.14,3.18,1865
6976,0.27,Ideal,D,IF,62.4,56.0,4.15,4.12,2.58,893
23876,0.3,Premium,D,VS2,61.1,59.0,4.26,4.31,2.62,710
20036,1.19,Premium,J,VS2,62.8,57.0,6.78,6.7,4.23,4761
24888,1.51,Premium,H,SI2,62.9,58.0,7.31,7.26,4.58,6511
7090,0.33,Very Good,I,VVS1,62.5,61.0,4.38,4.42,2.75,608
6484,0.81,Very Good,G,SI2,62.9,56.9,5.89,5.96,3.73,2493
3394,0.81,Good,I,VS2,63.8,58.0,5.89,5.84,3.74,2641
11577,0.31,Ideal,E,VVS1,61.7,56.0,4.36,4.33,2.68,988
9184,1.26,Good,J,SI1,63.9,58.0,6.78,6.74,4.32,4255
22602,0.56,Premium,E,VS2,59.9,58.0,5.37,5.34,3.21,2167
8292,1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,4829
11267,0.54,Ideal,D,VS2,61.1,57.0,5.22,5.25,3.2,1892
15138,1.04,Ideal,G,VS1,61.8,56.0,6.5,6.52,4.02,7467
5387,0.72,Ideal,I,VS1,62.5,55.0,5.74,5.78,3.6,2586
18284,0.41,Ideal,E,SI2,61.9,57.0,4.76,4.8,2.96,683
